review,sentiment
"I love this product, it works perfectly!",1
"The service was terrible and slow.",0
"Excellent quality and fast shipping.",1
"Waste of money, do not buy.",0
"Very happy with my purchase.",1
"Not what I expected, very disappointed.",0
"Best experience ever!",1
"Poor quality and broke after one use.",0
"Highly recommend this to everyone.",1
"A complete disaster, avoid at all costs.",0
"Fantastic experience, will definitely return.",1
"The product arrived damaged and late.",0
"Great customer support and high quality.",1
"Horrible experience, customer service was rude.",0
"Five stars! Everything was perfect.",1
"I would not recommend this to my worst enemy.",0
"Smooth transaction and great item.",1
"Faulty product and difficult return process.",0
"Absolutely brilliant, exceeded expectations.",1
"Worst purchase I have ever made.",0
"Really good value for the price.",1
"I am very unhappy with the quality.",0
"Superb! Fast delivery and great product.",1
"Terrible, it stopped working after a day.",0
"Excellent service, thank you!",1
"I wish I could give zero stars.",0
"Very impressed with the build quality.",1
"Too expensive for such low quality.",0
"Amazing! I use it every day.",1
"Broken on arrival, very frustrated.",0
